t212_ticker,yahoo_symbol,name,notes
MSFT_US_EQ,MSFT,Microsoft,
ORCL_US_EQ,ORCL,Oracle,
NVDA_US_EQ,NVDA,Nvidia,
VOW3d_EQ,VOW3.DE,Volkswagen (Preferred),
GOOGL_US_EQ,GOOGL,Alphabet (Class A),
AMD_US_EQ,AMD,Advanced Micro Devices,
TSLA_US_EQ,TSLA,Tesla,
AMZN_US_EQ,AMZN,Amazon,
PLTR_US_EQ,PLTR,Palantir Technologies,
AAPL_US_EQ,AAPL,Apple,
AVGO_US_EQ,AVGO,Broadcom,
WMT_US_EQ,WMT,Walmart,
V_US_EQ,V,Visa,
JNJ_US_EQ,JNJ,Johnson & Johnson,healthcare/pharma - diversification
LLY_US_EQ,LLY,Eli Lilly,healthcare/pharma - diversification
JPM_US_EQ,JPM,JPMorgan Chase,banking/financials - diversification
BRK_B_US_EQ,BRK-B,Berkshire Hathaway (Class B),financials/conglomerate - diversification
XOM_US_EQ,XOM,ExxonMobil,energy - diversification
PG_US_EQ,PG,Procter & Gamble,consumer staples - diversification
